GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gumga-application,io.gumga.application.tag,GumgaTagService,11,53,0,0,3,11,1,4,1,4
gumga-application,io.gumga.application.tag,GumgaTagDefinitionService,25,17,0,0,5,6,3,2,3,2
gumga-application,io.gumga.application.service,JasperReportService.new Object() {...},1,11,0,0,0,1,0,1,0,1
gumga-application,io.gumga.application.service,GumgaReadOnlyService,46,0,0,0,17,0,8,0,8,0
gumga-application,io.gumga.application.service,GumgaFreemarkerTemplateEngineService,53,106,1,5,15,26,4,7,3,5
gumga-application,io.gumga.application.service,AbstractGumgaService,73,15,1,1,12,6,4,2,3,2
gumga-application,io.gumga.application.service,JasyptGumgaPasswordService,4,19,0,0,1,6,1,2,1,2
gumga-application,io.gumga.application.service,GumgaNoDeleteService,86,0,4,0,34,0,17,0,15,0
gumga-application,io.gumga.application.service,JasperReportService,5,55,4,4,2,16,4,4,0,4
gumga-application,io.gumga.application.service,ReportType,8,148,0,0,1,15,2,3,2,3
gumga-application,io.gumga.application,GumgaTempFileService,159,7,4,0,29,2,5,2,3,2
gumga-application,io.gumga.application,GumgaFieldStereotype,68,0,0,0,6,0,4,0,4,0
gumga-application,io.gumga.application,GumgaGenericRepostoryHelperException,8,0,0,0,4,0,2,0,2,0
gumga-application,io.gumga.application,GumgaLogService,0,7,0,0,0,3,0,1,0,1
gumga-application,io.gumga.application,GumgaRepositoryFactoryBean,0,22,1,3,0,4,1,5,0,4
gumga-application,io.gumga.application,GumgaUserDataService,35,7,0,0,6,3,3,1,3,1
gumga-application,io.gumga.application,GumgaGenericRepository,736,643,80,42,137,97,82,28,29,20
gumga-application,io.gumga.application,GumgaService,37,93,3,7,13,35,7,18,5,15
gumga-application,io.gumga.application,GumgaLoggerService,79,13,0,0,14,4,2,2,2,2
gumga-application,io.gumga.application,GumgaCrudAndQueryNotOnlyTypedRepositoryImpl,0,97,1,1,0,23,1,8,0,8
gumga-application,io.gumga.application,GumgaQueryDSLRepositoryImpl,208,112,5,3,23,18,19,7,15,7
gumga-application,io.gumga.application,QueryObjectLikeDecorator,71,0,6,0,12,0,5,0,2,0
gumga-application,io.gumga.application,GumgaGenericRepositoryHelper,531,0,36,0,82,0,24,0,6,0
gumga-application,io.gumga.application,GumgaHqlElement,26,0,0,0,5,0,2,0,2,0
gumga-application,io.gumga.application,GumgaMessageService,0,7,0,0,0,3,0,1,0,1
gumga-application,io.gumga.application,GumgaGenericRepositoryException,4,0,0,0,2,0,1,0,1,0
gumga-application,io.gumga.application,GumgaUntypedRepository,201,3,16,0,37,2,13,1,5,1
gumga-application,io.gumga.application,GumgaHqlEntry,78,0,8,0,19,0,8,0,4,0
gumga-application,io.gumga.application,GumgaRepositoryFactoryBean.MyRepositoryFactory,0,63,0,8,0,15,0,7,0,3
gumga-application,io.gumga.application.nlp,GumgaNLP.Estados,9,59,0,0,0,2,2,2,2,2
gumga-application,io.gumga.application.nlp,GumgaNLP,25,511,1,45,6,96,1,26,0,4
gumga-application,io.gumga.application.spring.config,DatabaseConfigSupport,118,0,2,0,28,0,9,0,8,0
gumga-application,io.gumga.application.spring.config,PostgreSqlDataSourceProvider,53,0,0,0,16,0,5,0,5,0
gumga-application,io.gumga.application.spring.config,EnvironmentHandler,25,0,4,0,8,0,5,0,3,0
gumga-application,io.gumga.application.spring.config,DatabaseConfigSupport.Database,58,0,0,0,2,0,4,0,4,0
gumga-application,io.gumga.application.spring.config,H2DataSourceProvider,53,0,0,0,16,0,5,0,5,0
gumga-application,io.gumga.application.spring.config,OracleDataSourceProvider,53,0,0,0,16,0,5,0,5,0
gumga-application,io.gumga.application.spring.config,DataSourceProviderSupport,25,0,4,0,8,0,5,0,3,0
gumga-application,io.gumga.application.spring.config,MySqlDataSourceProvider,53,0,0,0,16,0,5,0,5,0
gumga-application,io.gumga.application.clock,RelogioImpl,4,3,0,0,1,1,1,1,1,1
gumga-application,io.gumga.application.clock,RelogioTeste,16,0,2,0,4,0,4,0,3,0
gumga-application,io.gumga.application.customfields,GumgaCustomFieldService,0,46,0,0,0,10,0,5,0,5
gumga-application,io.gumga.application.customfields,GumgaCustomEnhancerService,118,47,17,5,31,12,13,4,3,3
gumga-application,io.gumga.application.customfields,GumgaCustomFieldValueService,0,39,0,2,0,9,0,4,0,3
gumga-application,gumga.framework.application.spring.config,GumgaNamingStrategy,695,0,28,0,48,0,27,0,13,0
gumga-application,io.gumga.application.seed,AbstractSeed,60,0,6,0,17,0,5,0,2,0
