GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gumga-core,io.gumga.core.exception,UnauthorizedException,16,0,0,0,8,0,4,0,4,0
gumga-core,io.gumga.core.exception,ForbiddenException,16,0,0,0,8,0,4,0,4,0
gumga-core,io.gumga.core.exception,BadRequestException,16,0,0,0,8,0,4,0,4,0
gumga-core,io.gumga.core.exception,ConflictException,16,0,0,0,8,0,4,0,4,0
gumga-core,io.gumga.core.exception,NoMultiTenancyException,4,0,0,0,2,0,1,0,1,0
gumga-core,io.gumga.core.exception,TemplateEngineException,23,0,0,0,10,0,5,0,5,0
gumga-core,io.gumga.core.exception,NotFoundException,16,0,0,0,8,0,4,0,4,0
gumga-core,gumga.framework.core.utils,NumericUtils,7,0,0,0,2,0,2,0,2,0
gumga-core,io.gumga.core.utils,ReflectionUtils,176,0,24,0,41,0,20,0,8,0
gumga-core,io.gumga.core.utils,ReflectionUtilsException,4,0,0,0,2,0,1,0,1,0
gumga-core,io.gumga.core,QueryObjectElement,55,0,0,0,15,0,8,0,8,0
gumga-core,io.gumga.core,SearchUtils.EnumNameComparator,0,9,0,0,0,2,0,2,0,2
gumga-core,io.gumga.core,GumgaThreadScope,48,0,0,0,12,0,2,0,2,0
gumga-core,io.gumga.core,SearchUtils,3,93,1,7,2,16,2,6,1,3
gumga-core,io.gumga.core,FacebookRegister,38,0,0,0,16,0,11,0,11,0
gumga-core,io.gumga.core,GumgaValues,70,0,0,0,20,0,14,0,14,0
gumga-core,io.gumga.core,JavaScriptEngine,69,0,4,0,14,0,6,0,4,0
gumga-core,io.gumga.core,TenancyPublicMarking,46,0,0,0,7,0,5,0,5,0
gumga-core,io.gumga.core,QueryObject,146,72,15,1,27,23,25,9,17,9
gumga-core,io.gumga.core,QueryToSave,58,0,0,0,17,0,9,0,9,0
gumga-core,io.gumga.core,UserAndPassword,60,0,0,0,19,0,10,0,10,0
gumga-core,io.gumga.core,SearchResult,18,38,0,0,1,12,1,6,1,6
gumga-core,io.gumga.core.service,GumgaAbstractTemplateEngineAdapter,37,0,8,0,8,0,6,0,2,0
